wuc,description,full_context
4645A,CELL NO. 3 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 4645A CELL NO. 3 (SC)
46460,AFT BODY,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46460 AFT BODY
46461,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46460 AFT BODY > 46461 FUEL LEVEL CONTROL VALVE
46463,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46460 AFT BODY > 46463 SUMP DRAIN VALVE
46470,AFT BODY (CONT),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT)
46471,CELL NO. 1 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46471 CELL NO. 1 (SC)
46472,CELL NO. 1 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46472 CELL NO. 1 ACCESS DOOR
46473,CELL NO. 2 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46473 CELL NO. 2 (SC)
46474,CELL NO. 2 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46474 CELL NO. 2 ACCESS DOOR
46475,CELL NO. 3 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46475 CELL NO. 3 (SC)
46476,CELL NO. 3 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46476 CELL NO. 3 ACCESS DOOR
46477,CELL NO. 4 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46477 CELL NO. 4 (SC)
46478,CELL NO. 4 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46470 AFT BODY (CONT) > 46478 CELL NO. 4 ACCESS DOOR
46480,AFT BODY (CONT),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46480 AFT BODY (CONT)
46481,CELL NO. 5 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46480 AFT BODY (CONT) > 46481 CELL NO. 5 ACCESS DOOR
46482,INTERCONNECT FITTINGS,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46480 AFT BODY (CONT) > 46482 INTERCONNECT FITTINGS
4648A,CELL NO.5 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46480 AFT BODY (CONT) > 4648A CELL NO.5 (SC)
46499,NOC,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46490 > 46499 NOC
464A0,UPPER DECK,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 464A0 UPPER DECK
464AA,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 464A0 UPPER DECK > 464AA FUEL LEVEL CONTROL VALVE
464AB,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 464A0 UPPER DECK > 464AB SUMP DRAIN VALVE
464AC,TRANSFER VALVE,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 464A0 UPPER DECK > 464AC TRANSFER VALVE
464AD,CELL (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 464A0 UPPER DECK > 464AD CELL (SC)
